Unnamed: 0                 Life expectancy   1800   1801   1802   1803   1804   1805   1806   1807   1808   1809   1810   1811   1812   1813   1814   1815   1816   1817   1818   1819   1820   1821   1822   1823   1824   1825   1826   1827   1828   1829   1830   1831   1832   1833   1834   1835   1836   1837   1838   1839   1840   1841   1842   1843   1844   1845   1846   1847   1848   1849   1850   1851   1852   1853   1854   1855   1856   1857   1858   1859   1860   1861   1862   1863   1864   1865   1866   1867   1868   1869   1870   1871   1872   1873   1874   1875   1876   1877   1878   1879   1880   1881   1882   1883   1884   1885   1886   1887   1888   1889   1890   1891   1892   1893   1894   1895   1896   1897   1898   1899   1900   1901   1902   1903   1904   1905   1906   1907   1908   1909   1910   1911   1912   1913   1914   1915   1916   1917   1918   1919   1920   1921   1922   1923   1924   1925   1926   1927   1928   1929   1930   1931   1932   1933   1934   1935   1936   1937   1938   1939   1940   1941   1942   1943   1944   1945   1946   1947   1948   1949   1950   1951   1952   1953   1954   1955   1956   1957   1958   1959   1960   1961   1962   1963   1964   1965   1966   1967   1968   1969   1970   1971   1972   1973   1974   1975   1976   1977   1978   1979   1980   1981   1982   1983   1984   1985   1986   1987   1988   1989   1990   1991   1992   1993   1994   1995   1996   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016
0                        Abkhazia    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN
1                     Afghanistan  28.21  28.20  28.19  28.18  28.17  28.16  28.15  28.14  28.13  28.12  28.11  28.10  28.09  28.08  28.07  28.06  28.05  28.04  28.03  28.02  28.01  28.00  27.99  27.98  27.97  27.95  27.94  27.93  27.92  27.91  27.90  27.89  27.88  27.87  27.86  27.85  27.84  27.83  27.82  27.81  27.80  27.79  27.78  27.77  27.76  27.75  27.74  27.73  27.72  27.71  27.70  27.69  27.68  27.67  27.66  27.65  27.64  27.63  27.62  27.61  27.60  27.59  27.58  27.57  27.56  27.54  27.53  27.52  27.51  27.50  27.49  27.48  27.47  27.46  27.45  27.44  27.43  27.42  27.41  27.40  27.39  27.38  27.37  27.36  27.35  27.34  27.33  27.32  27.31  27.30  27.29  27.28  27.27  27.26  27.25  27.24  27.23  27.22  27.21  27.20  27.19  27.18  27.17  27.16  27.15  27.14  27.12  27.11  27.10  27.09  27.08  27.07  27.06  27.05  27.04  27.03  27.02  27.01   7.05  26.99  26.98  26.97  26.96  26.95  26.94  26.93  26.92  26.91  26.90  26.89  26.88  26.87  26.86  26.85  26.84  26.83  26.82  26.81  26.80  26.79  26.78  26.79  26.80  26.80  26.81  26.82  26.82  26.83  26.83  26.84  26.85  27.13  27.67  28.19  28.73  29.27  29.80  30.34  30.86  31.40  31.94  32.47  33.01  33.53  34.07  34.60  35.13  35.66  36.17  36.69  37.20  37.70  38.19  38.67  39.14  39.61  40.07  40.53  40.98  41.46  41.96  42.51  43.11  43.75  44.45  45.21  46.02  46.87  47.74  48.62  49.50  49.30  49.40  49.50  48.90  49.40  49.70  49.50  48.60  50.00  50.10  50.40  51.00  51.40  51.80  52.00  52.10  52.40  52.80  53.30  53.60  54.00  54.40  54.80  54.90  53.80  52.72
2           Akrotiri and Dhekelia    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN
3                         Albania  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  19.43  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  35.40  36.29  37.19  38.08  38.98  39.87  40.77  41.66  42.56  43.45  43.00  42.00  41.53  40.06  37.09  34.12  47.15  50.18  51.71  52.63  53.56  54.48  54.72  55.23  55.85  56.59  57.45  58.42  59.48  60.60  61.75  62.87  63.92  64.84  65.60  66.18  66.59  66.88  67.11  67.32  67.55  67.83  68.16  68.53  68.93  69.35  69.77  70.17  70.54  70.86  71.14  71.39  71.63  71.88  72.15  72.42  72.71  72.96  73.14  73.25  73.30  73.30  73.40  73.60  73.60  73.60  73.70  73.80  74.10  74.20  74.20  74.70  75.10  75.50  75.70  75.90  76.20  76.40  76.60  76.80  77.00  77.20  77.40  77.50  77.70  77.90  78.00  78.10
4                         Algeria  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  20.00  15.00  22.00  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  21.00  11.00  15.00  22.00  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.82  28.86  28.90  28.94  29.86  24.12  26.70  28.03  27.93  27.84  29.26  30.79  30.51  31.79  29.66  29.16  28.66  28.29  28.29  22.06  28.29  27.50  27.50  27.22  29.62  30.97  31.64  30.97  26.49  29.79  29.96  31.14  29.18  30.40  31.52  30.94  32.60  33.70  31.92  31.30  33.36  33.72  32.16  31.60  27.38  32.36  30.34  32.41  35.48  38.34  40.55  42.77  43.03  43.50  43.96  44.44  44.93  45.44  45.94  46.45  46.97  47.50  48.02  48.55  49.07  49.58  50.09  50.58  51.05  51.49  51.95  52.41  52.88  53.38  53.91  54.52  55.24  56.11  57.13  58.28  59.56  60.92  62.31  63.69  64.97  66.15  67.18  68.04  68.75  69.33  69.81  70.20  70.50  70.90  71.20  71.40  71.60  72.10  72.40  72.60  73.00  73.30  73.50  73.80  73.90  74.40  74.80  75.00  75.30  75.50  75.70  76.00  76.10  76.20  76.30  76.30  76.40  76.50
5                  American Samoa    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN  70.20  70.20  70.20  70.50  70.50  70.60  70.70  70.80  71.00  71.40  71.70  71.70  71.70  71.70  71.80  72.00  72.20  72.40  72.70  71.30  72.80  72.60  72.60  72.70  72.80  72.90  73.00
6                         Andorra    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN  81.70  81.80  81.90  82.20  82.30  82.60  82.80  83.10  83.30  83.50  83.70  83.90  84.10  84.20  84.10  84.30  84.40  84.50  84.60  84.60  84.70  84.70  84.70  84.80  84.80  84.80  84.80
7                          Angola  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  10.43  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  26.98  27.35  27.73  28.10  28.47  28.84  29.21  29.58  29.95  30.33  30.70  31.05  31.59  32.14  32.69  33.24  33.78  34.33  34.88  35.43  35.98  36.53  37.08  37.63  38.18  38.74  39.28  39.84  40.39  40.95  41.50  42.06  42.62  43.17  43.71  44.22  44.68  45.12  45.50  45.84  46.14  46.42  46.69  46.96  47.23  47.50  47.75  47.99  48.20  48.40  48.60  49.30  49.60  48.40  50.00  50.90  51.30  51.70  51.80  51.80  52.30  52.50  53.30  53.90  54.50  55.20  55.70  56.20  56.70  57.10  57.60  58.10  58.50  58.80  59.20  59.60  60.00
8                        Anguilla    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN
9             Antigua and Barbuda  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  33.54  21.75  33.54  33.54  33.54  34.36  35.19  36.02  36.85  37.67  38.50  39.33  40.16  40.98  41.81  42.64  43.47  44.29  45.12  45.95  46.78  47.60  48.43  49.26  50.13  51.01  51.87  52.74  53.62  54.49  55.35  56.22  57.10  57.97  58.26  58.80  59.34  59.87  60.41  60.93  61.45  61.97  62.48  62.97  63.46  63.93  64.38  64.81  65.23  65.63  66.03  66.41  66.81  67.19  67.56  67.94  68.30  68.64  68.99  69.32  69.64  69.96  70.28  70.59  70.90  71.22  71.52  71.82  72.13  72.42  72.70  72.97  73.24  73.50  73.60  73.50  73.40  73.40  73.50  73.50  73.90  74.10  74.00  73.80  74.10  74.30  74.50  74.60  74.90  74.90  75.30  75.50  75.70  75.80  75.90  76.10  76.20  76.30  76.40  76.50
