Temperature,Date
46.2,20100101 00:00
44.6,20100101 01:00
44.1,20100101 02:00
43.8,20100101 03:00
43.5,20100101 04:00
43.0,20100101 05:00
43.1,20100101 06:00
42.3,20100101 07:00
42.5,20100101 08:00
45.9,20100101 09:00
49.4,20100101 10:00
52.4,20100101 11:00
54.9,20100101 12:00
57.1,20100101 13:00
58.4,20100101 14:00
59.1,20100101 15:00
59.1,20100101 16:00
58.0,20100101 17:00
54.5,20100101 18:00
51.3,20100101 19:00
49.2,20100101 20:00
48.1,20100101 21:00
47.2,20100101 22:00
46.4,20100101 23:00
46.5,20100102 00:00
44.9,20100102 01:00
44.4,20100102 02:00
44.1,20100102 03:00
43.9,20100102 04:00
43.3,20100102 05:00
43.5,20100102 06:00
42.6,20100102 07:00
42.8,20100102 08:00
46.3,20100102 09:00
49.9,20100102 10:00
53.0,20100102 11:00
55.5,20100102 12:00
57.7,20100102 13:00
59.0,20100102 14:00
59.7,20100102 15:00
59.7,20100102 16:00
58.6,20100102 17:00
55.1,20100102 18:00
51.8,20100102 19:00
49.8,20100102 20:00
48.6,20100102 21:00
47.6,20100102 22:00
46.8,20100102 23:00
46.8,20100103 00:00
45.2,20100103 01:00
44.7,20100103 02:00
44.5,20100103 03:00
44.1,20100103 04:00
43.4,20100103 05:00
43.7,20100103 06:00
42.8,20100103 07:00
43.0,20100103 08:00
46.4,20100103 09:00
49.9,20100103 10:00
53.1,20100103 11:00
55.6,20100103 12:00
57.8,20100103 13:00
59.1,20100103 14:00
59.8,20100103 15:00
59.8,20100103 16:00
58.6,20100103 17:00
55.2,20100103 18:00
51.8,20100103 19:00
49.7,20100103 20:00
48.5,20100103 21:00
47.5,20100103 22:00
46.6,20100103 23:00
46.6,20100104 00:00
45.0,20100104 01:00
44.5,20100104 02:00
44.3,20100104 03:00
43.9,20100104 04:00
43.2,20100104 05:00
43.4,20100104 06:00
42.6,20100104 07:00
42.9,20100104 08:00
46.3,20100104 09:00
49.8,20100104 10:00
52.9,20100104 11:00
55.4,20100104 12:00
57.6,20100104 13:00
59.0,20100104 14:00
59.7,20100104 15:00
59.7,20100104 16:00
58.5,20100104 17:00
55.1,20100104 18:00
51.6,20100104 19:00
49.5,20100104 20:00
48.3,20100104 21:00
47.3,20100104 22:00
46.4,20100104 23:00
46.5,20100105 00:00
44.9,20100105 01:00
44.5,20100105 02:00
44.3,20100105 03:00
43.9,20100105 04:00
43.2,20100105 05:00
43.5,20100105 06:00
42.7,20100105 07:00
43.0,20100105 08:00
46.4,20100105 09:00
49.9,20100105 10:00
53.0,20100105 11:00
55.6,20100105 12:00
57.8,20100105 13:00
59.2,20100105 14:00
59.9,20100105 15:00
59.9,20100105 16:00
58.7,20100105 17:00
55.3,20100105 18:00
51.8,20100105 19:00
49.7,20100105 20:00
48.5,20100105 21:00
47.5,20100105 22:00
46.5,20100105 23:00
46.8,20100106 00:00
45.2,20100106 01:00
44.6,20100106 02:00
44.4,20100106 03:00
43.9,20100106 04:00
43.2,20100106 05:00
43.4,20100106 06:00
42.6,20100106 07:00
42.8,20100106 08:00
46.2,20100106 09:00
49.7,20100106 10:00
52.8,20100106 11:00
55.3,20100106 12:00
57.5,20100106 13:00
58.8,20100106 14:00
59.6,20100106 15:00
59.5,20100106 16:00
58.3,20100106 17:00
55.1,20100106 18:00
51.5,20100106 19:00
49.4,20100106 20:00
48.2,20100106 21:00
47.2,20100106 22:00
46.3,20100106 23:00
46.4,20100107 00:00
44.8,20100107 01:00
44.4,20100107 02:00
44.1,20100107 03:00
43.6,20100107 04:00
43.0,20100107 05:00
43.1,20100107 06:00
42.3,20100107 07:00
42.5,20100107 08:00
45.9,20100107 09:00
49.5,20100107 10:00
52.7,20100107 11:00
55.2,20100107 12:00
57.4,20100107 13:00
58.8,20100107 14:00
59.5,20100107 15:00
59.5,20100107 16:00
58.3,20100107 17:00
55.0,20100107 18:00
51.4,20100107 19:00
49.3,20100107 20:00
48.0,20100107 21:00
47.0,20100107 22:00
46.1,20100107 23:00
46.2,20100108 00:00
44.6,20100108 01:00
44.3,20100108 02:00
43.9,20100108 03:00
43.4,20100108 04:00
42.8,20100108 05:00
42.9,20100108 06:00
42.1,20100108 07:00
42.2,20100108 08:00
45.7,20100108 09:00
49.3,20100108 10:00
52.5,20100108 11:00
55.0,20100108 12:00
57.2,20100108 13:00
58.6,20100108 14:00
59.4,20100108 15:00
59.4,20100108 16:00
58.2,20100108 17:00
55.0,20100108 18:00
51.4,20100108 19:00
49.4,20100108 20:00
48.1,20100108 21:00
47.1,20100108 22:00
46.1,20100108 23:00
46.2,20100109 00:00
44.7,20100109 01:00
44.3,20100109 02:00
43.9,20100109 03:00
43.4,20100109 04:00
42.9,20100109 05:00
43.0,20100109 06:00
42.3,20100109 07:00
42.4,20100109 08:00
45.8,20100109 09:00
49.3,20100109 10:00
52.5,20100109 11:00
55.0,20100109 12:00
57.1,20100109 13:00
58.5,20100109 14:00
59.3,20100109 15:00
59.2,20100109 16:00
58.1,20100109 17:00
54.8,20100109 18:00
51.3,20100109 19:00
49.3,20100109 20:00
48.0,20100109 21:00
47.0,20100109 22:00
46.2,20100109 23:00
46.2,20100110 00:00
44.7,20100110 01:00
44.3,20100110 02:00
43.9,20100110 03:00
43.4,20100110 04:00
42.9,20100110 05:00
43.0,20100110 06:00
42.3,20100110 07:00
42.5,20100110 08:00
45.8,20100110 09:00
49.3,20100110 10:00
52.5,20100110 11:00
55.0,20100110 12:00
57.1,20100110 13:00
58.5,20100110 14:00
59.3,20100110 15:00
59.3,20100110 16:00
58.1,20100110 17:00
54.8,20100110 18:00
51.3,20100110 19:00
49.3,20100110 20:00
47.9,20100110 21:00
47.0,20100110 22:00
46.1,20100110 23:00
46.1,20100111 00:00
44.7,20100111 01:00
44.2,20100111 02:00
43.8,20100111 03:00
43.4,20100111 04:00
42.9,20100111 05:00
