,Unnamed: 0,Wban,date,Time,StationType,sky_condition,sky_conditionFlag,visibility,visibilityFlag,wx_and_obst_to_vision,wx_and_obst_to_visionFlag,dry_bulb_faren,dry_bulb_farenFlag,dry_bulb_cel,dry_bulb_celFlag,wet_bulb_faren,wet_bulb_farenFlag,wet_bulb_cel,wet_bulb_celFlag,dew_point_faren,dew_point_farenFlag,dew_point_cel,dew_point_celFlag,relative_humidity,relative_humidityFlag,wind_speed,wind_speedFlag,wind_direction,wind_directionFlag,value_for_wind_character,value_for_wind_characterFlag,station_pressure,station_pressureFlag,pressure_tendency,pressure_tendencyFlag,presschange,presschangeFlag,sea_level_pressure,sea_level_pressureFlag,record_type,hourly_precip,hourly_precipFlag,altimeter,altimeterFlag,junk
2011-01-01 01:53:00,0,13904,20110101,0153,12,OVC049, ,10.0, , , ,51, ,10.6, ,37, ,3.0, ,14, ,-10.0, , 23, ,10, ,340, , , ,29.49, , , , , ,30.01, ,AA, , , ,30.02, 
2011-01-01 02:53:00,1,13904,20110101,0253,12,OVC060, ,10.0, , , ,51, ,10.6, ,37, ,2.9, ,13, ,-10.6, , 22, ,15, ,010, , , ,29.49, ,1, ,030, ,30.01, ,AA, , , ,30.02, 
2011-01-01 03:53:00,2,13904,20110101,0353,12,OVC065, ,10.0, , , ,50, ,10.0, ,38, ,3.1, ,17, ,-8.3, , 27, , 7, ,350, , , ,29.51, , , , , ,30.03, ,AA, , , ,30.04, 
2011-01-01 04:53:00,3,13904,20110101,0453,12,BKN070, ,10.0, , , ,50, ,10.0, ,37, ,2.8, ,15, ,-9.4, , 25, ,11, ,020, , , ,29.51, , , , , ,30.04, ,AA, , , ,30.04, 
2011-01-01 05:53:00,4,13904,20110101,0553,12,BKN065, ,10.0, , , ,49, ,9.4, ,37, ,2.8, ,17, ,-8.3, , 28, , 6, ,010, , , ,29.53, ,1, ,015, ,30.06, ,AA, , , ,30.06, 
2011-01-01 06:53:00,5,13904,20110101,0653,12,BKN065, ,10.0, , , ,48, ,8.9, ,37, ,2.5, ,17, ,-8.3, , 29, , 7, ,360, , , ,29.57, , , , , ,30.10, ,AA, , , ,30.10, 
2011-01-01 07:53:00,6,13904,20110101,0753,12,SCT060, ,10.0, , , ,48, ,8.9, ,37, ,2.5, ,17, ,-8.3, , 29, ,11, ,020, , , ,29.59, , , , , ,30.12, ,AA, , , ,30.12, 
2011-01-01 08:53:00,7,13904,20110101,0853,12,FEW060, ,10.0, , , ,51, ,10.6, ,38, ,3.3, ,16, ,-8.9, , 25, ,15, ,020, , , ,29.62, ,3, ,034, ,30.16, ,AA, , , ,30.16, 
2011-01-01 09:53:00,8,13904,20110101,0953,12,FEW060, ,10.0, , , ,54, ,12.2, ,40, ,4.2, ,16, ,-8.9, , 22, ,18, ,010, , , ,29.65, , , , , ,30.19, ,AA, , , ,30.19, 
2011-01-01 10:53:00,9,13904,20110101,1053,12,FEW060, ,10.0, , , ,56, ,13.3, ,41, ,4.9, ,17, ,-8.3, , 22, ,15, ,030, , , ,29.66, , , , , ,30.20, ,AA, , , ,30.20, 
2011-01-01 11:53:00,10,13904,20110101,1153,12,FEW060, ,10.0, , , ,57, ,13.9, ,42, ,5.4, ,19, ,-7.2, , 23, ,14, ,010, , , ,29.66, ,1, ,014, ,30.20, ,AA, , , ,30.20, 
2011-01-01 12:53:00,11,13904,20110101,1253,12,FEW250, ,10.0, , , ,59, ,15.0, ,44, ,6.4, ,22, ,-5.6, , 24, ,14, ,020, ,20, ,29.65, , , , , ,30.18, ,AA, , , ,30.18, 
2011-01-01 13:53:00,12,13904,20110101,1353,12,CLR, ,10.0, , , ,59, ,15.0, ,45, ,7.0, ,26, ,-3.3, , 28, ,14, ,010, ,21, ,29.63, , , , , ,30.16, ,AA, , , ,30.17, 
2011-01-01 14:53:00,13,13904,20110101,1453,12,CLR, ,10.0, , , ,59, ,15.0, ,45, ,7.2, ,27, ,-2.8, , 29, ,16, ,360, , , ,29.63, ,6, ,012, ,30.16, ,AA, , , ,30.17, 
2011-01-01 15:53:00,14,13904,20110101,1553,12,CLR, ,10.0, , , ,57, ,13.9, ,44, ,6.6, ,27, ,-2.8, , 32, ,11, ,350, , , ,29.63, , , , , ,30.17, ,AA, , , ,30.17, 
